Name,Website,Aliases,Description,Related Disease 1,Related Disease 2,Related Disease 3,Related Disease 4,Related Disease 5
结膜充血,https://jbk.39.net/zhengzhuang/jmcx/,,正常情况下，球结膜的血管都是瘪着的，处于“沉睡”状态，血管内并没有血液通过，因而巩膜总是显得那样洁白无瑕。当遇到细菌、病毒等入侵时，“沉睡”着的血管会马上被“惊醒”，继而扩张。于是红色的血液从四面...,咽结膜热,春季角膜结膜炎,卡他性结膜炎,结膜炎,斜视
血虚,https://jbk.39.net/zhengzhuang/xx/,,中医名词。指体内阴血亏损的病理现象。可由失血过多，或久病阴血虚耗，或脾胃功能失常，水谷精微不能化生血液等所致。由于气与血有密切关系，故血虚每易引起气虚，而气虚不能化生血液，又为形成血虚的一个因素。...,血症,血虚头痛,肝血虚证,湿毒疮,蓐劳
粪便硬结如羊粪状,https://jbk.39.net/zhengzhuang/fbyjryfz/,,老年便秘患者可突出地表现为排便困难，排便时间可长达30min以上，或每天排便多次，但排出困难，粪便硬结如羊粪状，且数量很少。,脏毒便血,小儿便秘,便秘,老年便秘,
脾大,https://jbk.39.net/zhengzhuang/pd/,,脾大是重要的病理体征。在正常情况下一般摸不到脾脏，如仰卧位或侧卧位能摸到脾脏边缘应认为脾脏肿大。脾脏体积增大是脾脏疾病的主要表现。,肥气,Rh血型不合溶血病,不稳定血红蛋白病,血红蛋白C病,蚕豆病
关节肿胀,https://jbk.39.net/zhengzhuang/gjzz/,,"关节肿胀多见于损伤性滑膜炎，损伤性滑膜炎多因急性创伤和慢性损伤所致。当膝关节长时间单一动作超量运动之后，滑膜组织充血水肿,急性外伤包括有：膝关节扭伤、半月板损伤、侧副韧带或交叉韧带损伤，关节内积液...",骨关节病,膝关节骨性关节炎,肩部骨折,骨关节病,踝关节软骨损伤
蜂窝组织炎,https://jbk.39.net/zhengzhuang/fwzzy/,,以葡萄球菌或链球菌为主引起的皮下组织、筋膜下、肌间隙或深部结缔组织弥漫性化脓性炎症。炎症可向四周扩散，若经及时有效治疗，预后良好。发生败血症者，预后严重。常发生于四肢或其他部位，发生于手指者，称廪...,肺炎链球菌败血症,铜绿假单胞菌感染,鼻疽,梭状芽胞杆菌伤口感染,滑囊炎
尿急,https://jbk.39.net/zhengzhuang/nj/,,尿急是指不能自控排尿，尿意一来，即需排尿;或排尿之后，又有尿意，急需排尿，不及时排尿，则会尿湿内裤。主要由于尿道、膀胱、前列腺因炎症或异物刺激所致，常伴有尿痛。,老年人尿路感染,急性尿道综合征,重度宫颈糜烂,前列腺痛,细菌性前列腺炎
晕车,https://jbk.39.net/zhengzhuang/yc/,,在乘坐车、船时，经受振动、摇晃的刺激，人体内耳迷路不能很好地适应和调节机体的平衡，使交感神经兴奋性增强导致的肾经功能紊乱，引起眩晕、呕吐等晕车症状。,痰浊眩晕,晕动病,眩晕,,
牙齿遇冷热痛,https://jbk.39.net/zhengzhuang/ycylrt/,,"牙齿遇冷热痛原因主要是因为刺激牙髓的问题, 牙髓内有神经，通常在牙齿的牙本质及牙釉质的保护下不会有冷热刺激痛，当牙釉质受损或是牙龈萎缩后牙根暴露后，缺乏保护的牙齿就会因各种冷热刺激而疼痛。",牙周病,釉质发育不全,牙齿感觉过敏症,龋齿,小儿龋病
排便困难,https://jbk.39.net/zhengzhuang/pbkn/,,便秘不是一种疾病，而是多种疾病中都可见到的一个症状，在不同的患者有不同的含义，包括：1、大便量太少、太硬，排便困难。2、排便困难并发一些特殊的症候群，如长期用力排便，直肠坠胀感，排便不完全或需手法帮...,慢性便秘,外阴肿瘤,腹膜肿瘤,脾约,气秘
脑缺氧,https://jbk.39.net/zhengzhuang/nqy/,,脑缺氧是指脑部的氧气供应不足而出现的症状。,原发性直立性低血压,创伤性窒息,乳酸性酸中毒,弥漫性血管内凝血,缺血缺氧性脑病
转氨酶增高,https://jbk.39.net/zhengzhuang/zamzg/,,转氨酶就是在肝细胞内制造的一种重要的酶，它在氨基酸代谢及构成蛋白质、脂肪和糖三者相互转化的关系上起着重要作用。一般情况下，它不会大量地到肝细胞外面来。如果血液中含有大量转氨酶，则视为异常现象。当然...,肝炎,慢性肝炎,乙肝,药物性肝病,丙型肝炎病毒感染与肾小球肾炎
踝关节疼痛,https://jbk.39.net/zhengzhuang/hgjtt/,,踝关节：由胫、腓骨下端的关节面与距骨滑车构成，故又名距骨小腿关节。胫骨的下关节面及内、外踝关节面共同作成的“冂”形的关节窝，容纳距骨滑车(关节头)，由于滑车关节面前宽后窄，当足背屈时，较宽的前部进入...,骨关节病,筋痹,髌股关节疼痛,化脓性关节炎,滑膜肉瘤
经期前乳房痛,https://jbk.39.net/zhengzhuang/jqqrft/,,"经期前乳房痛指月经前觉得乳房胀痛,有时还能摸到痛感的硬结。",乳腺增生,痛经,,,
肌肉拉伤,https://jbk.39.net/zhengzhuang/jrls/,,肌肉在运动中急剧收缩或过度牵拉引起的损伤。肌肉拉伤是肌肉在运动中急剧收缩或过度牵拉引起的损伤。这在长蹍、引体向上和仰卧起坐练习时容易发生。肌肉拉伤后，拉伤部位剧痛，用手可摸到肌肉紧张形成的索条状硬...,,,,,
重度肥胖,https://jbk.39.net/zhengzhuang/zdfp/,,当体重超过标准体重的50%时候称为重度肥胖。肥胖症又名肥胖病，英文名称为“obesity”。当前肥胖已经成为了全世界的公共卫生问题，国际肥胖特别工作组(TOTF)指出，肥胖将成为新世纪威胁人类健康和生活满意度的最大杀...,肥胖症,小儿肥胖通气不良综合征,,,
单侧头痛,https://jbk.39.net/zhengzhuang/dctt/,,单侧头痛其特点为头痛在一侧。头痛开始为一侧额颞部位、眼眶周围、眼球后或一侧头部，可伴随其他症状。,瘀血头痛,痰浊头痛,头痛,腹型偏头痛综合征,鼻咽癌
带血粘脓鼻涕,https://jbk.39.net/zhengzhuang/dxznbt/,,有时候擤鼻涕时，可见粘稠脓鼻涕且带血丝。鼻涕带血的原因很多且复杂，需要根据不同病因进行诊断。,急性额窦炎,急性筛窦炎,咽白喉,鼻窦炎,上颌窦恶性肿瘤
动脉粥样硬化,https://jbk.39.net/zhengzhuang/dmzyyh/,,动脉粥样硬化(atheroma)是一组动脉硬化的血管病中常见的最重要的一种，其特点是受累动脉病变从内膜开始。一般先有脂质和复合糖类积聚、出血及血栓形成，纤维组织增生及钙质沉着，并有动脉中层的逐渐蜕变和钙化，病...,动脉硬化,冠状动脉粥样硬化性心脏病,高脂蛋白血症,家族性高胆固醇血症,肢端肥大症性心肌病
头痛,https://jbk.39.net/zhengzhuang/tt/,,头痛是临床上最常见的症状之一，涉及到各个科室，尤其是在神经系统疾病中多见，其病因十分复杂。发病率高，人群中几乎90%的人一生中都有头痛发作，有人称头痛是仅次于感冒的常见病，其实头痛是一种症状，而不是一...,夏季感冒,淋病后综合征,男性急性淋病,胆碱能性荨麻疹,寒冷性荨麻疹
右边脸颊长痘,https://jbk.39.net/zhengzhuang/ybljzd/,,右边脸颊长痘是肺热的症状之一。肺热是肺部脓疡形成的一种病症。临床以发热、咳嗽、胸痛、咯痰量多，气味腥臭，或脓血相兼为主要症状。,痈,,,,
胃肠感冒,https://jbk.39.net/zhengzhuang/wcgm/,,胃肠感冒是指胃肠的不舒服。造成胃肠不适的原因众多，包括细菌、病毒的感染，环境不适应，对饮食过敏，药物反应以及头部伤害(脑震荡)等。,胃病,结肠炎,肠胃炎,肠炎,大肠湿热
牙龈痛,https://jbk.39.net/zhengzhuang/yyt/,,"牙龈炎是由细菌的入侵造成的，表现为牙龈出血，红肿,胀痛，继续发展侵犯硬组织，产生牙周炎症。",牙痈,牙周病,牙周炎,牙龈癌,单纯疱疹病毒感染症
细菌感染,https://jbk.39.net/zhengzhuang/xjgr/,,细菌感染杆菌，球菌，革兰氏染色阳性和阴性细菌，全身各个器官，各系统都可发生细菌感染。,赤丝虬脉,细菌性角膜炎,肠病原性大肠埃希杆菌感染,芽生菌病,梭状芽胞杆菌伤口感染
慢性湿疹样变,https://jbk.39.net/zhengzhuang/mxszyb/,,慢性湿疹常表现为患处皮肤浸润肥厚，表面粗糙，呈暗红色或伴色素沉着，皮损多为局限性斑块，常见于手足、小腿、肘窝、乳房、外阴、肛门等处，边缘清楚。柏哲病病初乳头痒或奇痒，灼痛，继而乳头、乳晕皮肤发红，...,乳癌,湿疹,外阴湿疹,乳腺湿疹样癌,螨皮炎
粘膜疹,https://jbk.39.net/zhengzhuang/zmz/,,皮疹初发时为淡红色，渐呈暗红色或古铜色，不痛、不痒、皮疹大小不一、数目较多、对称分布、孤立而散在，多发生于胸部、腹部、躯干侧面与背部，但面部很少发生。身体虚弱与营养不良的患者可发生梅毒性脓疱疹，常...,梅毒,潜伏梅毒,,,
阴囊潮湿有异味,https://jbk.39.net/zhengzhuang/yncsyyw/,,阴囊潮湿有异味估计是很多男性朋友都受过的困扰，潮湿是指阴囊皮肤表面无任何变化，却出现多汗，潮湿或发凉等异常感觉，阴囊潮湿有异味是慢性前列腺炎的典型症状之一。,,,,,
皮肤出血点,https://jbk.39.net/zhengzhuang/pfcxd/,,广泛性或局限性皮肤、粘膜下出血，形成皮肤粘膜的红色或暗红色色斑，直径约3—5毫米或更大，压之退色者称为紫癜。通常直径在2毫米以内者称出血点,肺部粪类圆线虫病,肺部钩虫病,脂肪栓塞综合征,特发性血小板减少性紫癜,脾大
眼睛刺痛,https://jbk.39.net/zhengzhuang/yjct/,,眼睛刺痛的原因很多，角膜疾病可以引起，正常的眼球表面覆盖着一层泪膜，它是维持眼表健康、舒适的基础。白领由于长时间盯着电脑，注意力高度集中，眼睑睁开得较大，泪液蒸发比平时增加，而同时眨眼次数大大减少...,脉络膜病变,眼睑丹毒,赤膜下垂,赤脉贯布,目劄病
嗜酸性粒细胞增多,https://jbk.39.net/zhengzhuang/ssxlxbzd/,,"外周血的嗜酸性粒细胞超过正常值( 正常人不超过450/微升或占白细胞总数的 7%以下 )的病症。嗜酸性粒细胞描述：细胞质内含深红色大型颗粒。细胞核的形状与嗜中性白细胞相似，通常有2-3叶，约占白细胞总数的4%,血液中嗜...",湿疹,荨麻疹,白血病,红斑狼疮,淋巴瘤
大便粘腻,https://jbk.39.net/zhengzhuang/dbzn/,,"大便的性状与进食的主要成分构成密切相关,如吃的食物中主要是肉类等高蛋白、糯米等高粘性的成分，所排的大便必然较粘稠且有排便不畅感，反之吃的如以粗粮、蔬菜等高植物纤维的食物为主，则大便易形成固体，且易...",脾虚泄泻,气秘,女劳疸,弯曲菌感染,白痢
斑丘疹,https://jbk.39.net/zhengzhuang/bqz/,,在丘疹周围合并皮肤发红的底盘，称为斑丘疹。,寻常型银屑病,传染性淋巴细胞增多症,念珠菌病,链杆菌病,猫抓病
腋下淋巴肿大,https://jbk.39.net/zhengzhuang/yxlbzd/,,淋巴结因内部细胞增生或肿瘤细胞浸润而体积增大的现象，是临床常见的体征。可通过触摸腋窝部位而发现。,赖特综合征性巩膜炎,肺弓形体病,肺血吸虫病,肺孢子丝菌病,恶性淋巴瘤
腹部肥满,https://jbk.39.net/zhengzhuang/fbfm/,,腹部肥满，多由饮食不当、缺乏运动、生活不规律或内分泌失常等因素引起，腹部肥胖丰满是是其主要表现。,肥胖症,心绞痛,高血脂,糖尿病,直肠癌
干燥型湿疹,https://jbk.39.net/zhengzhuang/gzxsz/,,干燥型湿疹是婴儿湿疹的一种类型，多见于瘦弱的婴儿。,特应性皮炎,湿疹,,,
心前区隐痛,https://jbk.39.net/zhengzhuang/xqqyt/,,心前区疼痛主要见于急性心包炎的炎症变化的纤维蛋白渗出阶段。心包的脏层和壁层内表面无痛觉神经，在第五或第六肋间水平以下的壁层外表面有膈神经的痛觉纤维分布，因此当病变蔓延到这部分心包或附近的胸膜、纵隔...,甲状腺功能亢进性心肌病,埃及血吸虫病,心脏神经症,早期复极综合征,低血压
眼角长斑,https://jbk.39.net/zhengzhuang/yjzb/,,斑点长在眼角太阳穴附近的人有一个共同点，她们都很容易产生抑郁的情绪。因为太阳穴附近是由中医经络中所谓的胆经所支配，而胆经是一条排解积虑的通道。如果这里长斑，证明胆经有堵塞，而也正是由于她们情绪低落...,抑郁症,,,,
遗传性肥胖,https://jbk.39.net/zhengzhuang/ycxfp/,,遗传性肥胖症主要指遗传物质(染色体、 DNA)发生改变而导致的肥胖，这种肥胖极为罕见，常有家族性肥胖倾向。,肥胖症,单纯性肥胖,,,
青春期肥胖,https://jbk.39.net/zhengzhuang/qcqfp/,,青春期肥胖是指青少年身体里脂肪过多蓄积造成体重超标准的现象。青春期肥胖中体重超标10%为超重，20%为轻度肥胖，30%为中度肥胖，50%为重度肥胖。,肥胖症,小儿肥胖,小儿肥胖通气不良综合征,小儿肥胖性生殖无能综合征,
脑干梗塞,https://jbk.39.net/zhengzhuang/nggs/,,脑干梗塞：椎基底动脉及其分支有粥样硬化，或动脉栓塞、痉挛、炎症导致管腔狭窄、缺血而引起的循环障碍。,脑梗塞,,,,
手抽筋,https://jbk.39.net/zhengzhuang/scj/,,手抽筋可能是由于.动脉硬化、血脂高、缺钙或者心脏病引起的。,慢惊风,高血脂,,,
低蛋白血症,https://jbk.39.net/zhengzhuang/ddbxz/,,指血浆总蛋白质，特别是血浆白蛋白的减少。,尿毒症性心肌病,溃疡性结肠炎,朗格汉斯细胞组织细胞增生症,胰腺囊性纤维性变,蛋白丢失性胃肠病
反胃,https://jbk.39.net/zhengzhuang/fw/,,反胃，有称胃反，古即有之。笔者参照该病文献资料，结合临床实践，认为主要应咎肝之疏泄不利与脾之运化功能失常。张景岳谓“反胃之病，则病于中下二焦。……所以反胃之治，宜益火之源，以助化功”。此虽含深义治...,胃寒呕吐,胃肠积液,弥漫性食管痉挛,食管异位组织,食管平滑肌瘤
脑白质脱髓鞘,https://jbk.39.net/zhengzhuang/nbztsq/,,已经发育成熟的正常髓磷脂被破坏，即：脑白质脱髓鞘(demyelination)疾病。它主要包括：多发硬化、进行性多灶性脑白质病、急性散发性脑脊髓炎、亚急性硬化性全脑炎、桥脑中央髓鞘溶解症、胼胝体变性、皮层下动脉硬化性...,异染性脑白质营养不良,小儿异染性脑白质营养不良,,,
外阴损伤,https://jbk.39.net/zhengzhuang/wyss/,,由于意外损伤，也可由于性交损伤而引起外阴破裂或血肿称为外阴损伤。,外阴阴道性不孕,外阴良性肿瘤,外阴梅克尔细胞癌,,
男性小便刺痛,https://jbk.39.net/zhengzhuang/nxxbct/,,在临床上男性小便刺痛最可能就是非淋菌性尿道炎，是男性生殖系统的感染疾病，主要就是患者在日常的生活中没有注意卫生。,尿精,膀胱咳,,,
体重减轻,https://jbk.39.net/zhengzhuang/tzjq/,,定义上只要体重在6个月内减轻达到原来体重的5%以上时，即是有意义的体重减轻。,胃炎,红蝴蝶疮,艾滋病导致的肺结核,肠癌,Wegner肉芽肿伴发的葡萄膜炎
注意力不集中,https://jbk.39.net/zhengzhuang/zylbjz/,,注意力老不集中很有可能是由神经衰弱引起的，需要引起足够的重视。如果注意力老不集中的症状长期存在，无法自我克服的话，就应该尽快进行心理咨询，请心理医生诊断是否是神经衰弱。一旦确诊，要立即进行心理...,慢性乙肝,交感神经型颈椎病,慢性疲劳综合症,成功后抑郁症,脑萎
顽固性肥胖,https://jbk.39.net/zhengzhuang/wgxfp/,,简介：顽固性肥胖，是指通过饮食及药物治疗，体重仍无明显下降者。有人主张以127Kg为界线，超过此者均为顽固性肥胖。,肥胖症,,,,
尿道口痒,https://jbk.39.net/zhengzhuang/ndky/,,性淋菌性尿道炎(急性淋病)：潜伏期为1-14天，常为2-5天。初起，为急性前尿道炎、尿道口红肿、发痒及轻微刺痛，继而有稀薄粘液流出，引起排尿不适。,支原体尿路感染,衣原体尿路感染,瘙痒症,淋病,赖特综合征性巩膜炎
阴道持续少量流血,https://jbk.39.net/zhengzhuang/ydcxsllx/,,非月经期阴道少量持续出血。,崩漏,阴道平滑肌肉瘤,前置血管,,
胃灼热,https://jbk.39.net/zhengzhuang/wzr/,,"胃灼热是指由于括约肌无法紧闭，导致食物和胃酸逆流回食道或口中，所产生的灼热感觉。慢性浅表性胃炎,主要表现胃部灼热感。",结石,铁利用性贫血,巴雷特食管,巴来特(Barrett)食管,胆汁返流性胃炎
经期头痛,https://jbk.39.net/zhengzhuang/jqtt/,,经期头痛为妇女常见病症之一，属近代医学“经前期紧张综合征”范畴。临床表现为经来前3～7天头痛发作，经来或行经后缓解或消失。,经行头痛,头痛,小儿痛经,月经性哮喘,
心电图异常,https://jbk.39.net/zhengzhuang/xdtyc/,,心电图指的是心脏在每个心动周期中，由起搏点、心房、心室相继兴奋，伴随着心电图生物电的变化，通过心电描记器从体表引出多种形式的电位变化的图形(简称ECG)。心电图是心脏兴奋的发生、传播及恢复过程的客观指标,肢端肥大症性心肌病,甲状腺功能亢进性心肌病,三度房室传导阻滞,窦室传导,无症状型心肌缺血
皮肤紫纹,https://jbk.39.net/zhengzhuang/pfzw/,,皮肤紫纹是指皮肤上有紫红色、条梭状、大小不一的皮纹，常分布于臀外侧、大腿内外侧、腋下、腘窝及下腹部，多为高皮质醇血症伴发的特征性改变。,皮肤病,异位ACTH综合征,小儿库欣综合征,,
乳腺癌的远处转移,https://jbk.39.net/zhengzhuang/rxadyczy/,,"早期乳腺癌手术后的头2-3年是复发的高峰,即使接受了传统药物三苯氧胺治疗,仍然存在复发风险,这些复发的患者中有75%会发生骨、肺、肝、骨髓、脑、卵巢等器官组织的远处转移,而这些远处转移往往危及生命。有数据显示,...",乳腺癌,原发性乳腺恶性淋巴瘤,,,
大腿外侧痛,https://jbk.39.net/zhengzhuang/dtwct/,,"有两种情况,一是股外侧皮神经炎,二是股外侧皮神经卡压综合征。
股外侧皮神经炎又称感觉异常性股痛，股外侧皮神经系由第2～3腰神经发出，通过腰大肌外侧缘，斜过髂肌，沿骨盆经腹股沟韧带之深面，在髂前上棘以...",股外侧皮神经卡压综合征,股神经卡压综合征,前骨间神经卡压综合征,神经卡压综合征,妊娠合并宫颈癌
精液稀,https://jbk.39.net/zhengzhuang/jyx/,,精液稀指精液稀薄如水，呈乳白色液体，是少精症的一种。一般将少精症分为特发性少精症、原发性少精症和继发性少精症。特发性少精症占不育症人群的11%-15%。少精子症是指精液中的精子数目低于正常具有生育能力...,少精症,,,,
紫绀,https://jbk.39.net/zhengzhuang/zg/,(发绀),紫绀又称发绀(cyanosis)，人是指由于血液中还原血红蛋白增多或血中含有异常血红蛋白衍生物格高铁血红蛋白和硫化血红蛋白等人使皮肤和部膜呈现紫蓝色的一种临床表现。发绀可以出现在全身皮肤和我膜，但在皮肤较薄、...,血气胸,肺胀,结节性多动脉炎伴发的葡萄膜炎,鼠疫耶尔森菌肺炎,肺炭疽
左胸痛,https://jbk.39.net/zhengzhuang/zxt/,,左胸痛是急诊常见的症状，一般是由心血管，呼吸，胸膜疾病引起，胸痛的严重程度与引起胸痛的原因不一定有确切的关系。,结胸,慢性化脓性胸膜炎,心绞痛,心肌梗塞并发心室间隔穿破,结核性胸膜炎
心跳过速,https://jbk.39.net/zhengzhuang/xtgs/,,成人心率超过100次/分者，称心跳过速。,室性并行心律及室性并行心律性心动过速,肾上腺素能依赖性尖端扭转性室性心动过速,间歇依赖型尖端扭转型室性心动过速,双向性室性心动过速,束支折返性室性心动过速
肝郁化火,https://jbk.39.net/zhengzhuang/gyhh/,,肝郁化火，中医讲肝在五行中属木，木的性质是升散，不受遏郁，喜条达，恶抑郁，主疏泄。即人体肝脏犹如春升之气，具有条顺、畅达、疏通的特性。如果肝气郁结，不疏泄了那么根据五行理论，木生火，就叫肝郁化火。,肝胃不和,,,,
心脏杂音,https://jbk.39.net/zhengzhuang/xzzy/,,心脏杂音（cordiac murmur）是指心音及附加心音以外出现的一种非心音性的具有不同频率、不同强度、持续时间较长的噪杂声音。它可与心音分开或相连续，亦可完全覆盖心音。心脏杂音可见于健康人，更多发生于心血管疾病...,腹主动脉瘤,药物性心肌病,淀粉样变心肌病,莱姆心脏炎,勒夫勒心内膜炎
耳前淋巴结肿大,https://jbk.39.net/zhengzhuang/eqlbjzd/,,不同部位的淋巴结，发生不同性质的“报警信号”，有其不同的意义。肿大是淋巴结最常见的异常现象。耳前淋巴结肿大多见于眼睑、腮、腺、颊、耳、颧颞部等炎症。,咽结膜热,聤耳,眼睑疖肿和脓肿,耳疮,急性泪腺炎
大便黑色,https://jbk.39.net/zhengzhuang/hb/,(黑便),便血或黑便可称为黑便、便后滴血或鲜血便，血可与粪便混或不混，主要视出血部位高低、出血量多少而定。黑便提示出血部位较高(离肛门远)。不论哪一种出血，都说明 病变处血管有破裂，轻者为痔核、肛裂或黏膜损伤，...,外伤性食管穿孔,创伤性膈疝,铋中毒,呕血与黑粪,结缔组织性肠炎
药物性肥胖,https://jbk.39.net/zhengzhuang/ywxfp/,,精神病及某些疾病的患者长期使用氯丙唤、胰岛素、促进蛋白质合成制剂、糖皮质激素。息斯敏等药物，使患者食欲亢进、多食而肥胖。,肥胖症,,,,
子宫小,https://jbk.39.net/zhengzhuang/zgx/,,子宫小于正常，医学上称之为“子宫发育不良”。　子宫发育不良又称幼稚子宫，一般指青春期后子宫仍小于正常，俗称“子宫小”。这样的患者常伴有月经稀少、停经或闭经。,子宫性不孕,不孕症,先天性无阴道,软产道异常性难产,
盆腔沉重感,https://jbk.39.net/zhengzhuang/pqczg/,,盆腔沉重感主要症状是白带增多。由于病原菌的不同，白带的颜色、量也有所不同。白带可为粘稠的或胺性的，有时可带有血丝或少量血液，也可有接触性出血。也可表现为突然发作的剧烈的盆腔疼痛，伴有一盆腔肿块则提...,急性盆腔炎,巨大儿,出血性输卵管炎,卵巢重度水肿,卵巢残余综合征
更年期肥胖,https://jbk.39.net/zhengzhuang/gnqfp/,,更年期妇女的生活趋向稳定，加之当前经济状况逐渐好转，生活水平日益提高，日常劳动减少，能量消耗减少，休息时间增多，饮食条件越来越好，这些因素均可导致更年期肥胖。,肥胖症,男性更年期综合症,小儿肥胖通气不良综合征,,
毛细血管扩张,https://jbk.39.net/zhengzhuang/mxxgkzz/,(毛细血管扩张症),毛细血管扩张症是指小血管的持久性扩张。扩张的血管多为小静脉或小动脉，在皮肤上出现红丝状、网状或星状损害。压之褪色。正常人的鼻翼两侧、颧部，因风吹日晒可见轻度毛细血管扩张，属正常范围。但若出现较大范...,毛细血管瘤,红蝴蝶疮,视网膜血管炎,单纯疱疹性葡萄膜炎,光化性角化病
小儿流口水,https://jbk.39.net/zhengzhuang/xelks/,(小儿流涎多),小儿流涎多见于1岁左右的婴儿，常发生于断奶前后，是一种以流口水较多为特征的病症。一般6个月至3岁流口水较常见，大部分是正常现象。,小儿流涎症,手足口病,,,
下肢无力,https://jbk.39.net/zhengzhuang/xzwl/,,下肢无力多是有脊髓型颈椎病引起的，表现为下肢无力、麻木、发紧、抬步沉重感等症状，逐渐还会出现跛行、颤抖、步态摇晃、容易跌倒等现象。 脊髓型颈椎病是颈椎病的一种类型。颈椎病大体可以分为：颈型颈椎...,米勒费雪症候群,淋病后综合征,脊椎外伤,胸椎间盘突出症,胸椎椎管狭窄症
流泪,https://jbk.39.net/zhengzhuang/ll/,,流泪是以泪液经常溢出睑弦而外流为临床特征的眼病之总称。,接触性荨麻疹,胆碱能性荨麻疹,交感神经型颈椎病,儿童顿咳,血灌瞳神
肝脾肿大,https://jbk.39.net/zhengzhuang/gpzd/,,肝脏和脾脏均增大。肝脾一般在肋下不能触及，当内脏下垂或横膈下降或深吸气时，肝脾才能被触及，但不超过肋下1cm，且质地较软。肝脾肿大常见于慢性肝炎、伤寒、血吸虫病、肝硬化早期、白血病时。粒细胞白血病时，...,肝炎后肝硬化,慢性乙肝,急性黄疸型肝炎,肝炎,梅毒性葡萄膜炎
小儿干咳,https://jbk.39.net/zhengzhuang/xegk/,,小儿干咳是小儿鼻炎的主要表现，小儿鼻炎大多数是过敏性的，症状就是鼻塞、遇到冷空气打喷嚏、流清鼻涕、鼻涕倒流、记忆力减退，嗅觉差。许 多儿童还可伴有鼻子痒、眼睛痒和流眼泪，表现为反反复复搓鼻子(抠鼻子)...,慢性咳嗽,赤脉传睛,真菌过敏性哮喘,花粉过敏性哮喘,运动诱发哮喘
上肢麻痹,https://jbk.39.net/zhengzhuang/szmb/,,上肢麻痹是指身体上肢的感觉或运动功能部分丧失或完全丧失。,肱骨干骨折,更年期综合征,颈椎病,中风,
妊娠反应,https://jbk.39.net/zhengzhuang/rsfy/,,在妊娠早期(停经六周左右)孕妇体内绒毛膜促性腺激素(HCG)增多，胃酸分泌减少及胃排空时间延长，导致头晕乏力、食欲不振、喜酸食物或厌恶油腻恶心、晨起呕吐等一系列反应，统称为妊娠反应。这些症状一般不需特殊处...,子宫残角妊娠,妊娠,恶心和呕吐,滋养细胞肿瘤,宫外孕
带状疱疹样外观,https://jbk.39.net/zhengzhuang/dzpzywg/,,带状疱疹样外观，其主要特点为簇集水泡，沿一侧周围神经作群集带状分布，伴有明显神经痛。初次感染表现为水痘，以后病毒可长期潜伏在脊髓后根神经节，免疫功能减弱可诱发水痘带状疱疹病毒可再度活动，生长繁殖，...,水痘-带状疱疹性葡萄膜炎,带状疱疹病毒性巩膜炎,带状疱疹性角膜炎,带状疱疹,生殖器疱疹
肚脐疼,https://jbk.39.net/zhengzhuang/dqt/,,"    临床上能引起肚脐眼周围疼的原因不少,如阑尾炎,结肠炎,蛔虫症,肠痉挛，肠易激综合征等。",五更泄,肠易激综合征,小儿溃疡性结肠炎,,
肝火,https://jbk.39.net/zhengzhuang/gh/,,肝火，中医名词，指肝炎亢盛的病理现象。,肾虚眩晕,,,,
晨僵,https://jbk.39.net/zhengzhuang/cj1/,,晨僵是类风湿病人都有的一种表现(当然也可以发生在骨性关节炎等疾病)。即病人晨起或经过一段停止活动后在受累关节出现僵硬感，活动受限，严重时可有全身关节僵硬感，起床后经活动或温暖后症状可减轻或消失。,风湿性关节炎,硬皮病,类风湿性关节炎的肾损害,强直性脊柱炎,风湿寒性关节痛
虚火,https://jbk.39.net/zhengzhuang/xh2/,,虚火中医名词，也作“上火”。一般是指阴虚而导致火升的病理现象。阴虚有五脏之阴偏虚与精.血津液等亏损的不同情况。阴虚则阳气相对的亢盛，易于导致虚火上升，故虽见火升征象，实为阴虚所引起。临床表现为咽喉...,痰火,阴虚火旺,赤脉传睛,,
胸膜增厚,https://jbk.39.net/zhengzhuang/xmzh/,,"胸膜肥厚首先是由胸膜炎所致。有的达2厘米以上,由纤维结缔组 织组成,呈灰白色,表面为肉芽组织,脓腔内有大量坏死组织及积脓并有分隔胸膜炎有两种，一种为干性胸膜炎(无胸腔积液)，另一种为渗出性胸膜炎(有胸腔积液)...",肺结核,慢性化脓性胸膜炎,肺吸虫病,小儿急性血行播散型肺结核,小儿原发型肺结核
脑缺血,https://jbk.39.net/zhengzhuang/nqx/,,脑的短暂性血液供应不足并出现症状就叫做短暂性脑缺血发作，是一种常见的急性脑血管病。 病人突然发病，类似脑出血或脑梗塞的表现，一般在24小时内完全恢复正常，常使家人虚惊一场，但可以反复发作。 短...,颈动脉窦综合征,原发性直立性低血压,阿斯综合征,心室扑动和心室颤动,烟雾病
尿路结石,https://jbk.39.net/zhengzhuang/nljs/,,尿路结石是最常见的泌尿外科疾病之一。男性多于女性，约4～5∶1。形成机制未完全阐明，有多种学说。复发率高。对多数结石尚无十分理想的预防方法。尿石症发病有地区性。在我国多见于长江以南。北方相对少见。近三...,混合型肾小管性酸中毒,痛风和高尿酸血症,小儿特发性尿钙增多症,小儿维生素A缺乏病,老年人痛风
