Name,Website,Aliases,Description,Related Symptom 1,Related Symptom 2,Related Symptom 3,Related Symptom 4
阴茎异常勃起,https://jbk.39.net/yjycbq/,(强中),阴茎异常勃起(priapism)是指与性欲无关的阴茎持续勃起状态。阴茎持续勃起超过6小时已属于异常勃起。传统上阴茎异常勃起分为原发性(特异性)和继发性。按血流动力学分为低血流量型(缺血性)和高血流量型(非缺血性)。阴茎...,男子性功能障碍,阴茎异常勃起,痛性阴茎勃起,
颈椎病,https://jbk.39.net/jzb/,(颈椎退行性变，颈...),颈椎病又称颈椎综合征，是一种以退行性病理改变为基础的疾患，主要由于颈椎长期劳损、骨质增生，或椎间盘脱出、韧带增厚，致使颈椎脊髓、神经根或椎动脉受压，出现一系列功能障碍的临床综合征。颈椎病主要表现是...,上肢麻痹,肩背痛,颈椎痛,枕部和颈后疼痛
分泌性中耳炎,https://jbk.39.net/fmxzey/,"(胶耳,中耳炎,渗出...)",分泌性中耳炎(secretory otitis media)是以鼓室积液及听力下降为主要特征的中耳非化脓性炎性疾病。中耳积液可为浆液性漏出液或渗出液，亦可为粘液。本病命名尚不统一，有称为渗出性中耳炎、卡他性中耳炎、浆液性中耳炎、...,耳内发胀,血性耳漏,咽鼓管堵塞,耳道流脓
破伤风,https://jbk.39.net/psf/,"(金疮痉,伤痉)",破伤风是由破伤风梭菌侵入人体伤口后，在厌氧环境下生长繁殖，产生嗜神经外毒素而引起全身肌肉强直性痉挛为特点的急性传染病。重型患者可因喉痉挛或继发严重肺部感染而死亡。新生儿破伤风由脐带感染引起，病死率...,喉头痉挛,角弓反张位,痉笑面容,全身骨骼肌痉挛
生殖器念珠菌病,https://jbk.39.net/szqnzjb/,(念珠菌性外阴阴道...),生殖器念珠菌病主要是由白色念珠菌(candida albicans)感染所引起的一种常见的黏膜念珠菌病。可累及男女两性，男性中表现为念珠菌性包皮龟头炎，好发于包皮过长者;而女性中表现为外阴阴道念珠菌病好发于育龄妇女，以外...,粘膜有粘着性白斑,阴道口局部红肿热痛,外阴烧灼刺激感,念珠菌感染
气管炎,https://jbk.39.net/qgy1/,,气管炎(chronic bronchitis)是由于感染或非感染因素引起的气管、支气管粘膜炎性变化，粘液分泌增多，临床上以长期咳嗽、咯痰或伴有喘息为主要特征。本病早期症状较轻，多在冬季发作，春暖后缓解，且病程缓慢，故不为人...,咳嗽,喘息,咳痰,吐白沫痰
窦性心动过速,https://jbk.39.net/dxxdgs/,(心动过速),窦性心动过速(sinus tachycardia)是指成人窦房结冲动形成的速率超过每分钟100次，速率常在每分钟101-160次之间。窦性心动过速开始和终止时，其心率逐渐增快和减慢。。窦性心动过速是常见的心律失常。,心率增快,心悸,心慌气短,胸闷
强迫症,https://jbk.39.net/qpz/,,强迫性障碍(obsessive-compulsive disorder)简称强迫症，以反复出现强迫观念(obsession)为基本特征的一类神经症性障碍。强迫观念是以刻板形式反复进入患者意识领域的思想、表象或意向。这些思想、表象或意向对患者来说，是没有...,强迫行为,强迫观念,,
胆汁返流性胃炎,https://jbk.39.net/dzflxwy/,(碱性返流性胃炎),胆汁返流性胃炎，也称硷性返流性胃炎，系指由于胆汁返流入胃所引起的上腹痛、呕吐胆汁、腹胀、体重减轻等一系列表现的综合征，常见于胃切除、胃肠吻合术后，总发病率约5%左右，其中BillrothⅡ式胃切除术后的发病率...,胃灼热,餐后发作性腹痛,胆汁返流,中上腹持续性疼痛
肠炎,https://jbk.39.net/cy/,,肠炎是细菌、病毒、真菌和寄生虫等引起的胃肠炎、小肠炎和结肠炎。临床表现有恶心、呕吐、腹痛、腹泻、稀水便或粘液脓血便。部分病人可有发热及里急后重感觉，故亦称感染性腹泻。肠炎按病程长短不同，分为急性和...,恶心,水样便,肚子疼,肠鸣欲便
先天性心脏病,https://jbk.39.net/xtxxzb/,"(先心病,心脏病,小...)",先天性心血管病是先天性畸形中最常见的一类。随着心脏诊断方法及外科手术治疗技术的进展，目前绝大多数先天性心血管病均能获得明确的诊断和手术矫正治疗，预后较前有明显的改观。,劳力性呼吸困难,紫绀,生长缓慢,肺动脉瓣狭窄杂音
直肠息肉,https://jbk.39.net/zcxr/,,直肠息肉是直肠良性肿瘤的一种，是直肠内有粘膜覆盖的肿物，呈小的结节状粘膜隆起或为大的带蒂的肿物，一般为单个，少数为多个，若很多息肉聚集直肠或累及结肠者谓之息肉病。息肉源于炎症的称炎性息肉;粘膜呈增...,息肉,肛乳头肥大,息肉样损害,里急后重
股癣,https://jbk.39.net/gx2/,,股癣是指股内侧、会阴、臀部感染真菌后引起的皮肤病。股癣的真菌可以通过内衣、浴巾等传播，也可通过性生活传播，故股癣也被列入性传播性疾病之中。但临床上80%以上的股癣是通过非性交传播的。在我国引起股癣的病...,大腿内侧红斑,股部内侧靠近阴囊处的皮疹,腹股沟痒,鳞屑
喉癌,https://jbk.39.net/ha/,(喉疳),喉癌(carcinoma of larynx)是一种比较常见的恶性肿瘤，发病率约占全身肿瘤的1～5%，在耳鼻喉科领域中仅次于鼻咽癌和鼻腔，鼻窦癌，居第三位。好发年龄为50～70岁。男性较女性多见，约为8：1，以东北、华北和华东地区发病率...,咽部异物感,喉部堵塞感,咳嗽,呼吸异常
肝炎,https://jbk.39.net/gy/,,肝炎(学名：Hepatitis)是肝脏的炎症。肝炎的原因可能不同，最常见的是病毒造成的，此外还有自身免疫造成的。酗酒也可以导致肝炎。肝炎分急性和慢性肝炎。,巩膜黄染,肝区痛,肝肿大,食欲不振
鸡眼,https://jbk.39.net/jy/,(胼胝，肉刺),鸡眼和胼胝是皮肤由于长期受挤压或受摩擦而发生的角质性增生。鸡眼一般都出现在脚趾，为圆锥形角质增生，胼胝则为斑块状角质增生。主要发生于手、足、指、趾受摩擦或挤压部位。,黄色结节,眼缺陷,角质增厚,压痛
禽流感,https://jbk.39.net/qlg/,"(H7N9,H7N9禽流感,人...)",禽流感（Bird Flu或Avian Influenza）是禽流行性感冒的简称，它是一种由甲型流感病毒的一种亚型（也称禽流感病毒）引起的传染性疾病，被国际兽疫局定为甲类传染病，又称真性鸡瘟或欧洲鸡瘟。也能感染人类引起发病，成为...,流感样症状,发烧,头痛,咳嗽
狐臭,https://jbk.39.net/hc/,"(腋臭,臭汗症)",狐臭又称为腋臭、臭汗症等，是由患者腋窝、外阴、口角等部位的大汗腺(又叫顶浆腺)排泄的汗液，脂肪酸比普通人高，呈淡黄色，较浓稠;脂肪酸达到一定浓度，经皮肤表面的细菌，主要是葡萄球菌的分解，产生不饱和脂肪...,腋窝有异味,臭汗,腋窝多汗,多汗且臭味较浓
膀胱癌,https://jbk.39.net/bga/,(溺血),膀胱癌是泌尿系统最常见的恶性肿瘤，发病率居泌尿系统恶性肿瘤的首位。其发病原因还不清楚，一般认为与经常接触致癌物如萘胺、联苯胺等有关，日常生活中常见的染料，橡胶、塑料制品，油漆、洗涤剂等也有潜在的致...,逼尿肌无反射,耻区肿块,无痛性尿血,白细胞尿
阑尾炎,https://jbk.39.net/lwy/,,阑尾炎(Appendicitis)是指阑尾由于多种因素而形成的炎性改变。它是一种常见病，其预后取决于是否及时的诊断和治疗。早期诊治，病人多可短期内康复，死亡率极低(o.1%一0.2%);如果延误诊断和治疗可引起严重的并发症，甚至...,肚子疼,右下腹痛,恶心与呕吐,食欲不振
抑郁症,https://jbk.39.net/yyz/,(忧郁症),抑郁症是抑郁障碍的一种（抑郁障碍还包括心境恶劣），是一种慢性复发性疾病，其症状包括情绪低落、兴趣减少、思维迟缓、注意和记忆减退、自我否定、胃口变差、活动减少等。抑郁症的患病率呈上升的趋势，目前抑郁...,情绪低落,思维缓慢,焦虑,气滞
高尿酸血症,https://jbk.39.net/gnsxz/,(痛风),高尿酸血症又称痛风(gout)，是一组嘌呤代谢紊乱所致的疾病，其临床特点为高尿酸血症(hyperuricemia)及由此而引起的痛风性急性关节炎反复发作、痛风石沉积、痛风石性慢性关节炎和关节畸形，常累及肾脏引起慢性间质性肾炎...,尿酸盐在关节内沉积增多,尿酸结晶,关节液中白细胞内有尿酸结晶,肥胖
包茎,https://jbk.39.net/bj/,,包茎是由于包皮口狭窄或包皮与阴茎头炎症后粘连而不能上翻露出阴茎头者。包茎分先天性和后天性，先天性包茎分为萎缩型和肥大型，后天性包茎系炎症、外伤等使包皮口粘连狭窄所致。先天性包茎随阴茎的生长、勃起，...,包皮粘连,,,
急性阑尾炎,https://jbk.39.net/jxlwy/,"(阑尾炎,盲肠炎，...)",急性阑尾炎是外科常见病，居各种急腹症的首位。转移性右下腹痛及阑尾点压痛、反跳痛为其常见临床表现，但是急性阑尾炎的病情变化多端，因此对每一具体病例都应认真对待，详尽询问病史，仔细检查，这样才能准确诊...,肚子疼,恶心与呕吐,发烧,压痛
脑梗死,https://jbk.39.net/ngs1/,(脑梗塞),脑梗死(cerebral infarction，CI)是缺血性卒中(ischemic stroke)的总称，包括脑血栓形成、腔隙性梗死和脑栓塞等，约占全部脑卒中的70%，是脑血液供应障碍引起脑部病变。脑梗死是由于脑组织局部供血动脉血流的突然减少或停...,头痛,头晕,头昏,肢体麻痛
风疹,https://jbk.39.net/fz1/,"(病毒性风疹,德国...)","风疹(rubella,German measles)是由风疹病毒引起的一种常见的急性传染病。又称风痧，痧子等 。是儿童常见的一种呼吸道传染病。由于风疹的疹子来得快，去得也快，如一阵风似的，风疹也因此得名。风疹病毒在体外生活力很弱...",发烧,头痛,食欲减退,疲劳
口腔癌,https://jbk.39.net/kqa/,,口腔癌是指发生于口腔的恶性肿瘤。包括唇癌、牙龈癌、舌癌、软硬腭癌、颌骨癌、口底癌、口咽癌、涎腺癌和上颌窦癌以及发生于颜面部皮肤粘膜的癌症等。口腔癌是头颈部较常见的恶性肿瘤之一。口腔癌以男性多见。口...,口痛,溃疡,口腔痛,疼痛
美尼尔氏综合症,https://jbk.39.net/mneszhz/,(梅尼埃病，内耳眩...),美尼尔氏综合症是以膜迷路积水的一种内耳疾病。本病以突发性眩晕、耳鸣、耳聋或眼球震颤为主要临床表现，眩晕有明显的发作期和间歇期。病人多数为中年人，患者性别无明显差异，首次发作在50岁以前的病人约占65%，...,耳痛,头痛,听觉障碍,恶心
慢性胰腺炎,https://jbk.39.net/mxyxy/,(胰胀),慢性胰腺炎(chronic pancreatitis)是由于各种因素造成的胰腺组织和功能的持续性、永久性损害。胰腺出现不同程度的腺泡萎缩、胰管变形、纤维化及钙化，并出现不同程度的胰腺外分泌和内分泌功能障碍，临床上主要表现为腹...,肚子疼,腹胀,恶心与呕吐,消瘦
酒精肝,https://jbk.39.net/jjxgb/,(酒精性肝病),酒精性肝病是长期酗酒所致酒精中毒性肝脏疾病，包括脂肪肝、酒精性肝类和酒精性肝硬化。本病在西方国家多见，80%～90%的肝硬化病因是由饮酒所引起。在我国对肝炎后引起的肝硬化比较重视，对酒精性肝硬化认为少见而...,指甲呈扇形,肝病面容,肝肿大,肝脏病变弥漫
疝气,https://jbk.39.net/sq/,(疝气病，疝，疝脱...),"疝气，即人体组织或器官一部分离开了原来的部位,通过人体间隙、缺损或薄弱部位进入另一部位。俗称“小肠串气”。自脐部突出的疝称脐疝。临床上分婴儿脐疝和成人脐疝两种。",肚子疼,腹胀,排便障碍,
外阴溃疡,https://jbk.39.net/wyky/,(外阴溃疡病),外阴溃疡(Ulceration of vulva)是发生在女性外阴的一种急性皮肤疾患，多见于大、小阴唇，表现为外阴部有1个或多个溃疡，伴发热、疼痛。往往继发于外阴阴道的炎症性、恶性疾病，有时也可以是全身疾病在外阴和阴道的反映,会阴溃疡,腹股沟淋巴结肿大,脓血性白带,白带增多
结膜炎,https://jbk.39.net/jmy3/,,结膜炎(conjunctivitis)是眼科的常见病，但是其发病率目前尚未确定。由于大部分结膜与外界直接接触，因此容易受到周围环境中感染性(如细菌、病毒、及衣原体等)和非感染性因素(外伤、化学物质及物理因素等)的刺激，而且...,结膜乳头增生,结膜充血,流泪,红眼
窦性心动过缓,https://jbk.39.net/dxxdgh/,(窦性心律失常),窦性心动过缓(sinus bradycardia)是窦房结自律性降低所致的窦性心律失常，其频率在60次/min以下。,心动过缓,气短,疲劳,胸闷
玫瑰糠疹,https://jbk.39.net/mgkz/,(风热疮),风热疮是指皮肤出现斑疹、脱屑如糠秕之状，四周浅红呈玫瑰色的急性皮肤病。以前红色或黄褐色斑片，圆形或椭圆形，其长轴与皮纹一致，上覆糠秕状鳞屑为临床特征。本病好发于春秋季节，以青壮年多见。皮疹分布以躯...,玫瑰疹,皮肤瘙痒,丘疹,皮肤干燥
胆囊结石,https://jbk.39.net/dnjs/,(结石性胆囊炎，胆...),胆石症是胆道系统中最常见的病变。根据其所在部位不同，可有胆囊结石、原发性或继发性胆总管结石，肝外胆管或肝内胆管结石之分。但临床实际上，单一部位的结石是可能的但并非常见，往往几种部位的结石在同一患者...,右上腹压痛,腹胀,右上腹痛,胆绞痛
食物中毒,https://jbk.39.net/swzd/,(食源性疾病),食物中毒是指食用了不利于人体健康的物品而导致的急性中毒性疾病，通常都是在不知情的情况下发生食物中毒。食物中毒是由于进食被细菌及其毒素污染的食物，或摄食含有毒素的动植物如毒蕈、河豚等引起的急性中毒性...,肚子疼,恶心与呕吐,面色苍白,胃肠道症状
慢性细菌性前列腺...,https://jbk.39.net/mxxjxqlxy/,,慢性细菌性前列腺炎是由一种或数种病原菌引起的前列腺非急性感染。可因急性细菌性前列腺炎不及时治疗转变成。,尿道口粘连,尿道刺痒,阴茎疼痛,前列腺分泌物含有许多脓缩细胞
奶癣,https://jbk.39.net/nx/,"(婴儿湿疹,胎敛疮,...)",婴儿湿疹中医称奶癣，又名「胎敛疮」。多为体质过敏，为风湿所袭，搏于气血而发。分干、湿二型。起初形如粟粒，散在或密集，疹色红，搔之起白屑，其形如癣疥而不流津水的，为「干敛疮」，偏于风热盛。如皮肤起粟...,丘疹,红斑样皮疹,黄色发亮结痂,水泡
慢性浅表性胃炎,https://jbk.39.net/mxqbxwy/,(非萎缩性胃炎),慢性胃炎(chronic gastritis，CG)指各种病因引起的胃黏膜慢性炎症病变。临床上主要包括两大类即慢性浅表性胃炎(superficial gastritis)和萎缩性胃炎(atrophic gastritis)，其他还有部分特殊类型的胃炎，如胆汁反流性胃炎、门脉高压性...,左上腹痛,腹胀,嗳气,隐痛
黄疸,https://jbk.39.net/hd/,(高胆红素血症),黄疸(jaundice)是常见症状与体征，其发生是由于胆红素代谢障碍而引起血清内胆红素浓度升高所致。临床上表现为巩膜、黏膜、皮肤及其他组织被染成黄色。因巩膜含有较多的弹性硬蛋白(elastin)，与胆红素有较强的亲和力，...,皮肤呈浅黄或深金黄色,病理性黄疸,胆红素升高,巩膜黄染
皮肤病,https://jbk.39.net/pfb/,,皮肤病是指有关皮肤的疾病，是皮肤(包括毛发和甲)受到内外因素的影响后，其形态、结构和功能均发生变化，产生病理过程，并相应的产生各种临床先后表现。皮肤病的发病率很高，反复发作，多比较轻，常不影响患者生...,皮肤瘙痒,皮肤搔痒,皮肤潮红肿胀,股部内侧靠近阴囊处的皮疹
再生障碍性贫血,https://jbk.39.net/zszaxpx/,(髓劳，再障),再生障碍性贫血(aplastic anemia，AA)是一种物理、化学、生物或不明因素作用使骨髓造血干细胞和骨髓微环境严重受损，造成骨髓造血功能减低或衰竭的疾病。以全血细胞减少为主要表现的一组综合征。据国内21省(市)自治区的...,出血倾向,发烧,头晕,牙龈出血
风湿性心脏病,https://jbk.39.net/fsxxzb/,(风心病),风湿性心脏病(简称风心病)是常见的一种心脏病，是风湿病变侵犯心脏的后果，表现为瓣膜口狭窄和/或关闭不全，患者中女多于男。受损的瓣膜以二尖瓣为最常见，也可以几个瓣膜同时受累，称为联合瓣膜病变。,胸闷,呼吸困难,咳嗽,乏力
面瘫,https://jbk.39.net/mt/,"(Bell麻痹,特发性面...)",颜面肌分表情肌和咀嚼肌两部分，前者由面神经支配，后者由三叉神经运动支支配。此处所叙述面肌瘫痪仅讨论表情肌麻痹，即面神经麻痹的有关内容，面神经麻痹在脑神经疾患中较为多见，依据病因将其分成特发性(Bell)、...,早上起床突然发现面颊动作不灵或歪斜,口角下垂,鼻唇沟变浅,口角歪斜，无法说话
咽炎,https://jbk.39.net/yy3/,,咽炎是咽部粘膜，粘膜下组织的炎症，常为上呼吸道感染的一部分。依据病程的长短和病理改变性质的不同，分为急性咽炎、急性单纯性咽炎、慢性咽炎、慢性单纯性咽炎、肥厚性咽炎、萎缩性咽炎、病毒性咽炎、链球菌性...,咽喉干燥及灼热感,咽喉部干燥刺痒,咽部灼热疼痛,咽部充血
小儿厌食症,https://jbk.39.net/xeysz/,(消化功能紊乱),厌食症是指小儿长期食欲不振或食欲减退为主的一类症状。在小儿时期很常见，主要的症状有呕吐、食欲不振、腹泻、便秘、腹胀、腹痛和便血等。这些症状不仅反映消化道的功能性或器质性疾病，且常出现在其他系统的疾...,生理性厌食,情绪性厌食,神经性厌食,食欲不振
鱼鳞病,https://jbk.39.net/ylb/,(蛇皮癣),鱼鳞病，也叫鱼鳞癣中医也叫蛇皮癣，主要以为儿童发病，是遗传性皮肤角化障碍性疾病，鱼鳞病虽然对人体健康没有直接的危害，但会引起身体不适和严重影响美观，给患者造成极大的身心痛苦。,皮肤干燥,鳞屑,皮肤皲裂,皮肤硬化
佝偻病,https://jbk.39.net/glb/,"(维生素D缺乏病,维...)",维生素D缺乏性佝偻病(vitamin D deficiency rickets)，这是一种小儿常见病，一种慢性营养性疾病，占总佝偻病95%以上，本病系因小儿体内维生素D不足引起全身性钙、磷代谢失常以致钙盐不能正常沉着在骨骼的生长部分，最终发生...,胸廓畸形,串珠肋,罗圈腿,膝内翻
更年期综合征,https://jbk.39.net/gnqzhz/,(围绝经期综合征),更年期综合征(climacteric syndrome)系指由于更年期精神心理、神经内分泌和代谢变化，所引起的各器官系统的症状和体片综合症候群。人类寿命的高龄化是现代社会的重要发展趋势。因此更年期和绝经后妇女的健康保健和疾病...,植物神经功能障碍,潮红潮热,夜间盗汗,盗汗
风寒感冒,https://jbk.39.net/fhgm/,,风寒感冒是因风吹受凉而引起的感冒，秋冬发生较多。其症状为浑身酸痛、鼻塞流涕、咳嗽有痰。治疗上西药、中药皆可，亦可采用食疗，不但祛病，而且保健。预防措施为注意保暖，加强体育锻炼，提高免疫力，也可提前...,头痛,流清涕,怕冷,舌苔薄白
2型糖尿病,https://jbk.39.net/iixtnb/,(II型糖尿病),II型糖尿病也叫成人发病型糖尿病，多在35~40岁之后发病，占糖尿病患者90%以上。2型糖尿病病友体内产生胰岛素的能力并非完全丧失，有的患者体内胰岛素甚至产生过多，但胰岛素的作用效果却大打折扣，因此患者体内的胰...,血糖值升高,多食,餐后血糖高,多饮
肾癌,https://jbk.39.net/sa1/,"(肾细胞癌,肾腺癌)",肾肿瘤(renal tumor)在泌尿系肿瘤中较常见，仅次于膀胱肿瘤。绝大多数原发性肾肿瘤为恶性，包括肾细胞癌、肾母细胞瘤(Wilms瘤)及肾盂癌等。肾脏的良性肿瘤包括肾腺瘤、血管平滑肌脂肪瘤、血管瘤、脂肪瘤、纤维瘤以及肾...,腰部钝痛,体重减轻,食欲不振,乏力
腮腺炎,https://jbk.39.net/sxy/,,"流行性腮腺炎(epidemic parotitis,mumps)，简称腮腺炎或流腮，俗称“猪头疯”、“蛤蟆瘟”、“对耳风”等，多发于春季，是儿童和青少年中常见的呼吸道传染病，成人中也有发病，由腮腺炎病病毒所引起。病人是传染源，飞沫...",发烧,怕冷,头痛,咽痛
疥疮,https://jbk.39.net/jc/,,疥疮是由人型疥螨寄生于人体皮肤表层内引起的慢性传染性皮肤病。本病传染性强，主要通过密切接触传染，也可经衣物间接传染，可在家庭或集体人群中流行。,剧痒,日轻夜重的瘙痒,瘙痒,丘疹
糖尿病和高血压,https://jbk.39.net/tnbhgxy/,,糖尿病与高血压均为常见疾病，二者关系密切。糖尿病病人中高血压的患病率明显增高，约为非糖尿病人群的2倍，并随年龄增长、体重增加及病程延长而上升，女性高于男性。国外有关资料显示，糖尿病病人中高血压患病...,多饮,多尿,多食,消瘦
疣,https://jbk.39.net/y1/,"(瘊子,坚头肉)",疣(wart)是由病毒引起的一种皮肤表面赘生物，其病各首见与《内经》。多见于儿童及青年，潜伏期为1～3个月，能自身接扩散。病毒存在于棘层细胞中，可促使细胞增生，形成疣状损害。常见的有寻常疣、扁干疣、传染性软...,丘疹,,,
鼠标手,https://jbk.39.net/sbs/,(迟发性正中神经麻...),“鼠标手”通俗而狭义的讲就是“腕管综合症”，是指人体的正中神经、以及进入手部的血管，在腕管处受到压迫所产生的症状，主要会导致食指和中指僵硬疼痛、麻木与拇指肌肉无力感。现代越来越多的人每天长时间的接...,拇、食、中三指有放射痛,腕部疼痛,感觉障碍,手腕在大拇指侧的疼痛
支原体肺炎,https://jbk.39.net/zytfy/,"(伊顿肺炎,伊顿氏...)",支原体肺炎(mycoplasmal pneumonia)是由肺炎支原体(mycoplasmal pneumonia，MP)引起的肺炎，曾称原发性非典型性肺炎(primary atypical pneumonia)。起病缓慢，有发热、阵发性刺激性咳嗽，少量黏液性或黏液脓性痰(偶有血痰)。肺部体征多不明...,头痛,周身不适,黏液脓性痰,气短
慢性阑尾炎,https://jbk.39.net/mxlwy/,(阑尾炎),慢性阑尾炎是指阑尾急性炎症消退后而遗留的阑尾慢性炎症病变，诸如管壁纤维结缔组织增生、管腔狭窄或闭塞、阑尾扭曲，与周围组织粘连等。,右下腹压痛,右下腹痛,胃脘饱胀,阑尾脓肿
尿道结石,https://jbk.39.net/ndjs/,"(尿路结石,泌尿系...)",尿道结石临床并不多见。多数来源于膀胱及膀胱以上的泌尿系统，如肾结石、输尿管结石或膀胱结石。结石在排出时可停留在尿道或嵌顿于前列腺部尿道、舟状窝或尿道外口。少数继发于尿道狭窄、尿道闭锁、异物或尿道憩...,急性尿潴留,尿意窘迫,尿痛,尿分叉
淋巴瘤,https://jbk.39.net/lbl/,(淋巴癌),淋巴瘤是原发于淋巴结或淋巴组织的恶性肿瘤。临床以无痛性，进行性淋巴结肿大为主要表现。本病可发生于任何年龄，但发病年龄高峰在31~40岁，其中非霍奇金淋巴瘤高峰略往前移。男女之比为：2~3:1。,食欲异常,淋巴结肿大,局部淋巴结肿大,淋巴液流出
心脏神经官能症,https://jbk.39.net/xzsjgnz/,(神经循环衰弱症，...),心脏神经官能症是神经官能症的一种特殊类型，以心血管系统功能失常为主要表现，可兼有神经官能症的其他表现。其症状多种多样，时好时坏，常见有心悸、心前区疼痛、胸闷、气短、呼吸困难、头晕、失眠、多梦等。大...,心悸,心前区隐痛,胸闷,气短
阴茎癌,https://jbk.39.net/yja/,(阴茎恶性肿瘤),阴茎癌(carcinoma of penis)为常见的男性生殖系统的恶性肿瘤之一，过去在我国相当多见，占男性生殖系肿瘤第一位，近年来发病率已有明显降低趋势。多发生于中年人，平均年龄为30岁。患阴茎癌者绝大多数皆有包皮过长。阴...,阴茎异常勃起,阴茎疼痛,阴茎表浅性溃疡,腹股沟淋巴结肿大
甲状腺瘤,https://jbk.39.net/jzxxl/,(甲状腺腺瘤),甲状腺腺瘤(thyroid adenoma)是起源于甲状腺滤泡细胞的良性肿瘤，是甲状腺最常见的甲状腺良性肿瘤。目前认为本病多为单克隆性，是由与甲状腺癌相似的刺激所致。好发于甲状腺功能的活动期。临床分滤泡状和乳头状实性腺...,结节,呼吸困难,颈部淋巴结肿大,声音嘶哑
精囊炎,https://jbk.39.net/jny/,,精囊炎是由大肠杆菌等引起邻近器官前列腺等有感染或任何情况下导致前列腺、精囊充血时，细菌侵及精囊，诱发的炎症，从而引起以血精为主要临床表现的疾病。精囊炎分非特异性和特异性精囊炎两大类，前者包括急性精...,血精,精囊增大,怕冷,发烧
下肢静脉曲张,https://jbk.39.net/xzjmqz/,,指病变范围仅在下肢浅静脉，因其瓣膜功能不全、静脉壁薄弱，影响血液回流，引起静脉延长、弯曲、扩张。大多发生在大隐静脉，少数合并小隐静脉曲张或单独发生在小隐静脉。病变的浅静脉表现为伸长、扩张和蜿蜒屈曲...,静脉曲张,下肢浅静脉曲张,下肢无力,
小儿哮喘,https://jbk.39.net/xexc/,(小儿支气管哮喘，...),支气管哮喘(bronchial asthma)，哮喘是一种表现反复发作性咳嗽、喘鸣和呼吸困难，并伴有气道高反应性的可逆性、梗阻性呼吸道疾病。哮喘是一种严重危害儿童身体健康的常见慢性呼吸道疾病，其发病率高，常表现为反复...,干咳,平卧呼吸困难,三凹征,喘息
肝纤维化,https://jbk.39.net/gxwh/,(肝纤维变性),肝纤维化是指肝脏纤维结缔组织的过度沉积，是纤维增生和纤维分解不平衡的结果。纤维增生是机体对于损伤的一种修复反应，各种病因所致反复或持续的慢性肝实质炎症、坏死可导致肝脏持续不断的纤维增生而形成肝纤维...,肝肿大,食欲不振,易疲乏,恶心与呕吐
急性扁桃体炎,https://jbk.39.net/jxbtty/,(喉蛾，莲房蛾 ),急性扁桃体炎是腭扁桃体的一种非特异性急性炎症，常伴有一定程度的咽粘膜及咽淋巴组织的急性炎症。中医称为“乳蛾”、“喉蛾”或“莲房蛾”。常发生于儿童及青少年。,吞咽痛,恶寒,高热,咽痛
骨折,https://jbk.39.net/gz/,所谓骨折，顾名思义，就是指骨头或骨头的结构完全或部分断裂。多见于儿童及老年人，中青年也时有发生。病人常为—个部位骨折，少数为多发性骨折。经及时恰当处理，多数病人能恢复原来的功能，少数病人可留有不同...,发烧,活动受限,胸廓塌陷畸形,肢体局部的皮肤颜色和温度改变,纵行骨折
带状疱疹,https://jbk.39.net/dzpz/,带状疱疹(herpes zoster，HZ)是水痘带状疱疹病毒(varicella-zoster virus，VZV)引起的急性疱疹性皮肤病。其特征为簇集性水疱沿身体一侧周围神经，呈带状分布，伴有显著的神经痛及局部淋巴结肿大，愈后极少复发。带状疱疹患者一...,皮肤闪电疼痛,剧痒,泡样水肿,淋巴结肿大,反复发作的带状疱疹
宫颈炎,https://jbk.39.net/gjy/,宫颈炎是育龄妇女的常见病，有急性和慢性两种。急性宫颈炎常与急性子宫内膜炎或急性阴道炎同时存在，但以慢性宫颈炎多见。主要表现为白带增多，呈粘稠的粘液或脓性粘液，有时可伴有血丝或夹有血丝。长期慢性机械...,白带增多,脓血性白带,阴道分泌物增多,阴道血性分泌物,阴道脓性分泌物
消化性溃疡,https://jbk.39.net/xhxky/,消化性溃疡(peptic ulcer)主要指发生于胃和十二指肠的慢性溃疡，是一多发病、常见病。溃疡的形成有各种因素，其中酸性胃液对粘膜的消化作用是溃疡形成的基本因素，因此得名。酸性胃液接触的任何部位，如食管下段、胃...,胃重复畸形,上腹不适,胃酸缺乏,幽门管溃疡,柏油便
百日咳,https://jbk.39.net/brk/,百日咳(pertussis，whooping cough)是小儿常见的急性呼吸道传染病，百日咳杆菌是本病的致病菌。其特征为阵发性痉挛性咳嗽，咳嗽末伴有特殊的吸气吼声，病程较长，可达数周甚至3个月左右，故有百日咳之称。幼婴患本病时易...,咳嗽,流鼻涕,打喷嚏,口唇发绀,流泪
支气管肺炎,https://jbk.39.net/zqgfy/,支气管肺炎(bronchopneumonia)又称小叶肺炎，为小儿最常见的肺炎。发展中国家小儿肺炎的发病率明显高于发达国家，病死率和玹死亡率更高于发达国家。和其他发展中国家相似，小儿肺炎是威胁我国儿童健康的严重疾病，无论...,咳嗽,咳痰,呼吸困难,三凹征,烦躁不安
EB病毒感染,https://jbk.39.net/ebbdgr/,"Epstein-Barr病毒(EBV) 又称人类疱疹病毒,为疱疹病毒科嗜淋巴细胞病毒属的成员。它在世界各地都有分布，在人群中的感染非常普遍，为95%以上的成人所携带。EBV是传染性单核细胞增多症的病原体，更为重要的是，EBV与鼻咽癌...",发烧,淋巴结肿大,恶心与呕吐,食欲减退,红斑样皮疹
